coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
iExec RLC,RLC,1.81,0.019,0.057,0.075,6449965,129524554,2022-03-16
Kava Swap,SWP,1.81,-0.009,-0.013,0.02,1850449,107989085,2022-03-16
Railgun,RAIL,1.78,0.013,0.056,-0.041,448935,102343090,2022-03-16
ChainX,PCX,1.77,0.054,0.172,0.078,445046,68530128,2022-03-16
Mirror Protocol,MIR,1.71,0.016,-0.046,0.13,109251651,247146075,2022-03-16
Dawn Protocol,DAWN,1.7,0.016,0.023,0.033,2418035,122765002,2022-03-16
GXChain,GXC,1.64,0.021,-0.008,-0.019,11166637,122187268,2022-03-16
Bonfida,FIDA,1.61,0.02,0.007,-0.114,4391814,85251644,2022-03-16
Immutable X,IMX,1.57,0.043,0.012,0.049,87629552,365315958,2022-03-16
Polkastarter,POLS,1.54,0.03,-0.012,0.31,200132514,135061007,2022-03-16
GuildFi,GF,1.54,0.005,0.007,0.041,7298293,66370610,2022-03-16
Metal,MTL,1.52,0.024,0.029,-0.007,12492929,98095635,2022-03-16
1inch,1INCH,1.5,0.021,0.111,0.163,120457113,616145134,2022-03-16
Polygon,MATIC,1.44,0.029,0.034,0,665458992,9860943646,2022-03-16
Pirate Chain,ARRR,1.44,0.023,0.028,0.312,1431339,269625697,2022-03-16
Flux,FLUX,1.43,0.016,0.022,0.087,15489371,330216558,2022-03-16
Enjin Coin,ENJ,1.4,0.018,0.05,0.046,133821819,1300650179,2022-03-16
Aave [OLD],LEND,1.36,0.026,0.08,0.038,5128.17,69502548,2022-03-16
SXP,SXP,1.34,0.022,0.059,0.038,71885529,258788391,2022-03-16
Coin98,C98,1.34,0.024,0.035,0.066,52212880,247303702,2022-03-16
Yoshi.exchange,YOSHI,1.34,0.038,0.135,0.244,3113291,173731724,2022-03-16
Hoo Token,HOO,1.34,-0.002,0.049,-0.014,8376366,111488236,2022-03-16
Travala.com,AVA,1.33,0.018,0.021,0.051,3953320,68723455,2022-03-16
Biconomy,BICO,1.31,0.012,0.077,0.035,29389338,151360962,2022-03-16
Propy,PRO,1.31,0.021,-0.039,-0.189,1379488,76264908,2022-03-16
LooksRare,LOOKS,1.29,0.086,0.177,0.231,48697099,306843547,2022-03-16
Stacks,STX,1.26,0.018,0.026,0.183,44370134,1317492670,2022-03-16
Fantom,FTM,1.22,0.043,0.022,-0.079,1173101401,3072929159,2022-03-16
Boba Network,BOBA,1.21,0.007,0.061,0.136,4382013,192933914,2022-03-16
Swarm,BZZ,1.2,0.013,0.049,-0.008,1500542,77516525,2022-03-16
Tomb,TOMB,1.18,0.031,0.01,-0.054,14140774,300452818,2022-03-16
Unibright,UBT,1.18,0.022,0.176,0.654,2875621,177414204,2022-03-16
CertiK,CTK,1.18,0.016,0.04,0.04,7896532,82919242,2022-03-16
TomoChain,TOMO,1.17,0.02,0.046,0.039,5201034,103142455,2022-03-16
Wilder World,WILD,1.17,0.065,-0.002,-0.127,4735954,97124495,2022-03-16
Ultra,UOS,1.15,0.01,0.024,-0.037,8976424,308351253,2022-03-16
Creditcoin,CTC,1.14,0.015,0.015,0.023,3179625,233390471,2022-03-16
TitanSwap,TITAN,1.13,0,-0.002,-0.072,24704.16,112504097,2022-03-16
BitDAO,BIT,1.12,0.025,0.019,0.036,54570658,993438990,2022-03-16
Ampleforth,AMPL,1.12,0.019,0.146,0.235,9846521,91484573,2022-03-16
Klaytn,KLAY,1.1,0.016,0.023,-0.012,57133059,3034567731,2022-03-16
Euro Tether,EURT,1.1,0.004,0.008,0.012,25282592,226370344,2022-03-16
MMFinance,MMF,1.1,0.015,0.043,0.325,41252022,150442869,2022-03-16
Acala,ACA,1.1,0.035,0.022,0.018,13275096,140584940,2022-03-16
STASIS EURO,EURS,1.1,0.006,0.008,0.014,4643750,136959838,2022-03-16
agEUR,AGEUR,1.1,0.003,0.003,0.011,3811883,115711833,2022-03-16
Adventure Gold,AGLD,1.1,-0.002,0.189,0.098,57235927,85075417,2022-03-16
Akash Network,AKT,1.09,0.016,-0.001,0.019,1755865,145104697,2022-03-16
Iron Bank EURO,IBEUR,1.08,0,-0.004,0.009,95258.1,130044220,2022-03-16
Phantasma,SOUL,1.08,0.028,0.13,-0.024,2762350,112079479,2022-03-16
Storj,STORJ,1.04,0.023,0.042,0.106,29384442,147999404,2022-03-16
flexUSD,FLEXUSD,1.01,0.001,0,0.004,179309,132954034,2022-03-16
Tether,USDT,1,-0.001,-0.001,0,57934969077,79965155138,2022-03-16
Binance USD,BUSD,1,-0.002,0.002,0.002,4039490120,17975175881,2022-03-16
TerraUSD,UST,1,-0.001,0.003,0.001,742209053,15025463384,2022-03-16
TrueUSD,TUSD,1,0,0.001,0.001,114862495,1404670246,2022-03-16
Neutrino USD,USDN,1,0.003,-0.001,0.007,15319422,687954763,2022-03-16
Fei USD,FEI,1,0.001,0,0.003,10254055,557210659,2022-03-16
Liquity USD,LUSD,1,0,0,-0.008,3222808,464727068,2022-03-16
Gemini Dollar,GUSD,1,0.003,0.001,0.001,3181078,355825684,2022-03-16
USD Coin,USDC,0.999874,-0.001,0,0,3872273611,52222137400,2022-03-16
Dai,DAI,0.999429,0,-0.001,0,311112491,9375312310,2022-03-16
mStable USD,MUSD,0.999331,0.001,0.003,0,207110,75247445,2022-03-16
Celo Dollar,CUSD,0.999208,0.003,0.005,0.001,770929,82951206,2022-03-16
HUSD,HUSD,0.999103,0,0.001,0,43235094,310668205,2022-03-16
MAI,MIMATIC,0.99909,0.002,0.006,0.002,11703582,269555684,2022-03-16
Pax Dollar,USDP,0.999025,-0.002,0.001,-0.001,57639449,994783973,2022-03-16
Frax,FRAX,0.998392,-0.002,0.001,0,18194194,2866968260,2022-03-16
Magic Internet Money,MIM,0.997676,0,0.004,0.002,44641451,2784271477,2022-03-16
Alchemix USD,ALUSD,0.997171,-0.001,-0.001,0,3032734,208898318,2022-03-16
sUSD,SUSD,0.995877,-0.001,0.001,-0.002,8450530,95584478,2022-03-16
Origin Dollar,OUSD,0.993428,0.001,-0.002,0.001,886336,150338408,2022-03-16
USDX,USDX,0.969027,0.008,0.015,0.001,876536,146788183,2022-03-16
Stratis,STRAX,0.931273,0.015,0.026,-0.014,3193483,125656753,2022-03-16
Crabada,CRA,0.908045,0.047,0.106,0.031,2532869,78203679,2022-03-16
JOE,JOE,0.883671,0.032,0.035,-0.097,8255024,161542087,2022-03-16
Hive,HIVE,0.869127,0.015,0.041,0.011,12455971,322775766,2022-03-16
Regen,REGEN,0.862787,0.018,0.036,0.002,113190,106505797,2022-03-16
Ark,ARK,0.834377,0.007,0.017,-0.028,2749604,137522294,2022-03-16
Cardano,ADA,0.824161,0.016,0.016,0.028,950718327,26331888060,2022-03-16
Basic Attention Token,BAT,0.822605,0.021,0.055,0.251,324813983,1223583998,2022-03-16
Telos,TLOS,0.819159,0.02,0.052,-0.096,4398496,212084558,2022-03-16
PLEX,PLEX,0.815228,0.013,0.028,-0.008,15377424,198958494,2022-03-16
MiL.k Alliance,MLK,0.81278,0.012,0.029,0.028,6771412,179537968,2022-03-16
PlayDapp,PLA,0.797778,0.021,0.04,-0.013,17641285,288940736,2022-03-16
XRP,XRP,0.785018,0.019,0.019,0.089,3925204682,37530785877,2022-03-16
HUNT,HUNT,0.769839,0.005,0.044,-0.032,72974143,83873286,2022-03-16
ICON,ICX,0.753601,0.026,-0.013,0.21,45059623,549632622,2022-03-16
Pundi X,PUNDIX,0.740085,0.014,0.022,-0.006,4296268,190637766,2022-03-16
XSGD,XSGD,0.73676,0.004,0.004,0.006,4120965,179572544,2022-03-16
Audius,AUDIO,0.735289,0.027,0.026,0.02,7909768,447883958,2022-03-16
SafePal,SFP,0.733022,0.027,0.023,-0.039,14792090,78755589,2022-03-16
Algorand,ALGO,0.731009,0.025,0.014,-0.01,151572159,4824820884,2022-03-16
Trust Wallet Token,TWT,0.721272,0.026,-0.084,0.065,45061838,248213542,2022-03-16
IOTA,MIOTA,0.712336,0.018,0.011,0.012,26950213,1976598984,2022-03-16
Loopring,LRC,0.710702,0.03,0.035,-0.033,112235393,881663508,2022-03-16
Pocket Network,POKT,0.699085,0.019,-0.003,-0.055,974551,580439408,2022-03-16
TempleDAO,TEMPLE,0.666697,0.021,-0.003,-0.025,1492924,71996496,2022-03-16
World Mobile Token,WMT,0.656382,0.002,0.005,-0.005,1215991,153058923,2022-03-16
PlatonCoin,PLTC,0.640304,-0.001,0.019,0.126,280435,69590558,2022-03-16
Keep Network,KEEP,0.609779,0.012,0.019,-0.066,2299639,333366751,2022-03-16
Coinmetro,XCM,0.609647,0.005,-0.055,-0.017,54700.31,184318822,2022-03-16
SuperFarm,SUPER,0.606166,0.025,0.012,0.023,15865086,173202752,2022-03-16
Sapphire,SAPP,0.564647,0.02,0.001,0.014,432768,470978131,2022-03-16
WazirX,WRX,0.558123,0.012,-0.002,-0.073,7071983,254216018,2022-03-16
