coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Gitcoin,GTC,5.65,0.004,-0.003,-0.102,7848894,80282760,2022-03-17
Injective,INJ,5.4,0.008,0.014,0.011,25990848,262798491,2022-03-17
Zenon,ZNN,5.21,0.007,-0.026,-0.114,38130.88,257245207,2022-03-17
Energy Web Token,EWT,5.03,0,0.025,-0.02,1278646,211101992,2022-03-17
dYdX,DYDX,4.8,0,0.034,-0.053,84542474,410559152,2022-03-17
Secret,SCRT,4.73,0.004,0.028,-0.002,7931935,784928146,2022-03-17
API3,API3,4.64,0.003,-0.012,-0.146,30688251,230330587,2022-03-17
Aragon,ANT,4.6,0.005,-0.007,-0.032,20342438,174947342,2022-03-17
Synthetix Network Token,SNX,4.48,0.001,0.059,-0.06,99940204,960919289,2022-03-17
Seedify.fund,SFUND,4.37,-0.002,0.013,-0.168,3082745,104617801,2022-03-17
DeFi Kingdoms,JEWEL,4.33,0.007,0.053,-0.093,13531791,319385783,2022-03-17
Radicle,RAD,4.33,0,-0.022,-0.065,7819981,178613189,2022-03-17
Mask Network,MASK,4.21,0.002,0.043,-0.01,72687776,198784023,2022-03-17
Platypus Finance,PTP,4.14,0.005,-0.135,-0.354,5248814,79450747,2022-03-17
OMG Network,OMG,4.13,0.003,0.005,0.037,75465179,579014475,2022-03-17
xSUSHI,XSUSHI,4.02,0.012,0.058,0.022,255785,225344906,2022-03-17
FLEX Coin,FLEX,3.95,0,-0.001,0.006,1321112348,311501806,2022-03-17
Perpetual Protocol,PERP,3.95,0.004,0.023,-0.017,9229627,257335955,2022-03-17
Avalaunch,XAVA,3.92,-0.002,0.034,-0.024,1323970,86912829,2022-03-17
GPEX,GPX,3.77,-0.002,-0.017,-0.061,166864,144310185,2022-03-17
Tokamak Network,TON,3.63,0.001,0.018,-0.049,3175683,152418252,2022-03-17
Persistence,XPRT,3.61,-0.001,0.091,0.07,5704698,298811585,2022-03-17
Band Protocol,BAND,3.57,0.001,-0.012,-0.043,14710862,148621625,2022-03-17
Adshares,ADS,3.55,0.001,0.028,0.298,1188991,85408124,2022-03-17
Sovryn,SOV,3.32,-0.006,-0.029,-0.159,732020,70581427,2022-03-17
